Año,Trimestre,Provincia,Accesos por cada 100 hab,z_score
2024,1,Buenos Aires,27.8,1.3320643719972827
2024,1,Catamarca,17.5,0.21314789164251882
2024,1,Chaco,12.48,-0.332188101695434
2024,1,Chubut,26.02,1.1386982229651001
2024,1,Córdoba,27.77,1.3288053919574143
2024,1,Corrientes,13.68,-0.2018289001007043
2024,1,Entre Ríos,20.72,0.5629450825883769
2024,1,Formosa,10.08,-0.5929065048848936
2024,1,Jujuy,14.74,-0.08667827202535962
2024,1,La Pampa,33.11,1.9089038390539619
2024,1,La Rioja,21.3,0.6259520300258299
2024,1,Mendoza,14.67,-0.09428255878505222
2024,1,Misiones,15.46,-0.008462751068521691
2024,1,Neuquén,23.66,0.882325126495465
2024,1,Río Negro,21.88,0.6889589774632824
2024,1,Salta,13.63,-0.2072605335004846
2024,1,San Juan,13.15,-0.25940421413837655
2024,1,San Luis,29.39,1.5047903141102996
2024,1,Santa Cruz,20.1,0.49559282843110014
2024,1,Santa Fe,25.28,1.0583100486483503
2024,1,Santiago Del Estero,12.26,-0.35608728865446787
2024,1,Tierra Del Fuego,32.54,1.8469832182964652
2024,1,Tucumán,14.98,-0.060606431706413645
2023,4,Buenos Aires,27.68,1.3190284518378097
2023,4,Catamarca,17.46,0.2088025849226946
2023,4,Chaco,11.85,-0.4006266825326672
2023,4,Chubut,26.04,1.1408708763250122
2023,4,Córdoba,27.76,1.3277190652774584
2023,4,Corrientes,13.84,-0.18444767322140698
2023,4,Entre Ríos,20.91,0.5835852895075426
2023,4,Formosa,9.98,-0.6037697716844543
2023,4,Jujuy,14.77,-0.08341929198549144
2023,4,La Pampa,32.93,1.8893499588147524
2023,4,La Rioja,21.35,0.6313836634256104
2023,4,Mendoza,14.55,-0.10731847894452512
2023,4,Misiones,15.33,-0.022584997907950835
2023,4,Neuquén,23.78,0.8953610466549381
2023,4,Río Negro,21.61,0.6596281571044682
2023,4,Salta,13.8,-0.18879297994123123
2023,4,San Juan,12.75,-0.3028572813366198
2023,4,San Luis,29.21,1.4852364338710902
2023,4,Santa Cruz,21.94,0.6954769375430191
2023,4,Santa Fe,25.08,1.0365835150492284
2023,4,Santiago Del Estero,12.18,-0.36477790209411654
2023,4,Tierra Del Fuego,32.75,1.869796078575543
2023,4,Tucumán,15.12,-0.045397858187028635
2023,3,Buenos Aires,27.5,1.2994745715986002
2023,3,Catamarca,17.44,0.20662993156278248
2023,3,Chaco,11.46,-0.44299342305095424
2023,3,Chubut,25.82,1.1169716893659787
2023,3,Córdoba,27.57,1.3070788583582928
2023,3,Corrientes,13.9,-0.17792971314167044
2023,3,Entre Ríos,20.58,0.5477365090689917
2023,3,Formosa,9.89,-0.6135467118040591
2023,3,Jujuy,14.73,-0.08776459870531568
2023,3,La Pampa,32.62,1.8556738317361137
2023,3,La Rioja,21.41,0.6379016235053466
2023,3,Mendoza,14.52,-0.11057745898439349
2023,3,Misiones,15.12,-0.045397858187028635
2023,3,Neuquén,23.8,0.8975337000148502
2023,3,Río Negro,21.04,0.5977075363469716
2023,3,Salta,13.94,-0.17358440642184622
2023,3,San Juan,12.85,-0.2919940145370591
2023,3,San Luis,28.2,1.3755174391955258
2023,3,Santa Cruz,12.17,-0.3658642287740726
2023,3,Santa Fe,24.87,1.013770654770151
2023,3,Santiago Del Estero,12.08,-0.37564116889367727
2023,3,Tierra Del Fuego,31.41,1.724228303461428
2023,3,Tucumán,15.17,-0.03996622478724815
2023,2,Buenos Aires,27.1,1.256021504400357
2023,2,Catamarca,17.15,0.1751264578440558
2023,2,Chaco,11.46,-0.44299342305095424
2023,2,Chubut,25.28,1.0583100486483503
2023,2,Córdoba,27.59,1.3092515117182049
2023,2,Corrientes,13.79,-0.18987930662118746
2023,2,Entre Ríos,19.26,0.4043413873147893
2023,2,Formosa,9.75,-0.6287552853234443
2023,2,Jujuy,14.78,-0.08233296530553538
2023,2,La Pampa,32.4,1.83177464477708
2023,2,La Rioja,21.3,0.6259520300258299
2023,2,Mendoza,14.54,-0.10840480562448136
2023,2,Misiones,15.03,-0.055174798306633355
2023,2,Neuquén,23.5,0.8649438996161677
2023,2,Río Negro,21.09,0.6031391697467521
2023,2,Salta,13.92,-0.17575705978175832
2023,2,San Juan,12.1,-0.3734685155337652
2023,2,San Luis,26.73,1.215827417241982
2023,2,Santa Cruz,12.39,-0.34196504181503873
2023,2,Santa Fe,24.79,1.005080041330502
2023,2,Santiago Del Estero,11.7,-0.41692158273200847
2023,2,Tierra Del Fuego,31.54,1.738350550300857
2023,2,Tucumán,15.05,-0.05300214494672104
2023,1,Buenos Aires,26.81,1.2245180306816306
2023,1,Catamarca,16.83,0.14036400408546118
2023,1,Chaco,11.53,-0.43538913629126186
2023,1,Chubut,26.32,1.1712880233637826
2023,1,Córdoba,27.2,1.2668847711999178
2023,1,Corrientes,13.71,-0.19856992006083593
2023,1,Entre Ríos,19.37,0.41629098079430615
2023,1,Formosa,9.87,-0.6157193651639714
2023,1,Jujuy,14.88,-0.07146969850597443
2023,1,La Pampa,31.81,1.7676813706596712
2023,1,La Rioja,21.23,0.6183477432661373
2023,1,Mendoza,14.34,-0.13013133922360293
2023,1,Misiones,14.7,-0.09102357874518405
2023,1,Neuquén,23.38,0.8519079794566946
2023,1,Río Negro,21.27,0.6226930499859614
2023,1,Salta,13.97,-0.17032542638197784
2023,1,San Juan,12.67,-0.3115478947762685
2023,1,San Luis,25.8,1.1147990360060664
2023,1,Santa Cruz,12.92,-0.2843897277773665
2023,1,Santa Fe,24.57,0.9811808543714684
2023,1,Santiago Del Estero,11.8,-0.4060583159324475
2023,1,Tierra Del Fuego,30.9,1.6688256427836679
2023,1,Tucumán,14.95,-0.06386541174628202
2022,4,Buenos Aires,26.72,1.2147410905620257
2022,4,Catamarca,16.73,0.1295007372859006
2022,4,Chaco,11.66,-0.4212668894518327
2022,4,Chubut,26.23,1.161511083244178
2022,4,Córdoba,27.26,1.2734027312796545
2022,4,Corrientes,13.6,-0.21051951354035298
2022,4,Entre Ríos,19.14,0.3913054671553162
2022,4,Formosa,10.03,-0.5983381382846741
2022,4,Jujuy,14.95,-0.06386541174628202
2022,4,La Pampa,31.23,1.7046744232222186
2022,4,La Rioja,21.26,0.6216067233060056
2022,4,Mendoza,14.33,-0.131217665903559
2022,4,Misiones,14.39,-0.12469970582382243
2022,4,Neuquén,23.41,0.855166959496563
2022,4,Río Negro,21.04,0.5977075363469716
2022,4,Salta,14.04,-0.16272113962228543
2022,4,San Juan,12.96,-0.28004442105754207
2022,4,San Luis,25.83,1.1180580160459344
2022,4,Santa Cruz,12.95,-0.2811307477374983
2022,4,Santa Fe,24.65,0.9898714678111169
2022,4,Santiago Del Estero,11.92,-0.3930223957729746
2022,4,Tierra Del Fuego,30.07,1.5786605283473132
2022,4,Tucumán,15.12,-0.045397858187028635
2022,3,Buenos Aires,26.37,1.1767196567635632
2022,3,Catamarca,16.62,0.11755114380638378
2022,3,Chaco,11.72,-0.4147489293720962
2022,3,Chubut,25.86,1.121316996085803
2022,3,Córdoba,27.04,1.2495035443206204
2022,3,Corrientes,12.69,-0.3093752414163564
2022,3,Entre Ríos,19.04,0.38044220035575527
2022,3,Formosa,11.14,-0.4777558768095489
2022,3,Jujuy,15.06,-0.05191581826676499
2022,3,La Pampa,31.82,1.7687676973396274
2022,3,La Rioja,21.47,0.644419583585083
2022,3,Mendoza,14.24,-0.1409946060231637
2022,3,Misiones,14.11,-0.15511685286259283
2022,3,Neuquén,23.92,0.9105696201743233
2022,3,Río Negro,20.91,0.5835852895075426
2022,3,Salta,13.99,-0.16815277302206572
2022,3,San Juan,12.94,-0.28221707441745436
2022,3,San Luis,23.39,0.8529943061366508
2022,3,Santa Cruz,12.85,-0.2919940145370591
2022,3,Santa Fe,24.7,0.9953031012108974
2022,3,Santiago Del Estero,11.91,-0.39410872245293066
2022,3,Tierra Del Fuego,29.5,1.5167399075898165
2022,3,Tucumán,15.14,-0.04322520482711633
2022,2,Buenos Aires,26.12927127832741,1.1505686534650972
2022,2,Catamarca,15.871790195247085,0.036271116495601455
2022,2,Chaco,11.70254390369554,-0.41664523168643797
2022,2,Chubut,25.499919336270644,1.0822004728912535
2022,2,Córdoba,26.781590841133493,1.2214318679584508
2022,2,Corrientes,12.732146965383649,-0.30479670411881205
2022,2,Entre Ríos,19.10468595065942,0.38746920775772037
2022,2,Formosa,11.049814591140093,-0.4875529583882754
2022,2,Jujuy,14.656913524540677,-0.09570417752885753
2022,2,La Pampa,30.632721559665786,1.6397904727124573
2022,2,La Rioja,21.331409216914373,0.629364097058891
2022,2,Mendoza,13.782233784570575,-0.19072297132351443
2022,2,Misiones,13.89002818196789,-0.17901297833926524
2022,2,Neuquén,23.81745752817118,0.8994301578766938
2022,2,Río Negro,20.867543527383393,0.5789731296135181
2022,2,Salta,13.936010557448652,-0.1740177902100143
2022,2,San Juan,12.597912455631214,-0.31937895705030156
2022,2,San Luis,23.396972678771853,0.8537517668347135
2022,2,Santa Cruz,12.83962283852644,-0.29312131327415314
2022,2,Santa Fe,24.495906799164608,0.9731319122843853
2022,2,Santiago Del Estero,11.836737968128928,-0.40206737243786456
2022,2,Tierra Del Fuego,29.60495526496903,1.528141478043588
2022,2,Tucumán,14.6914572899128,-0.09195159613386958
2022,1,Buenos Aires,25.563030152028354,1.0890563691863928
2022,1,Catamarca,14.805619574995312,-0.07954984252088101
2022,1,Chaco,11.775342040436145,-0.40873697586719693
2022,1,Chubut,26.988759663104396,1.2439371698146573
2022,1,Córdoba,26.255262218351167,1.1642553854231528
2022,1,Corrientes,12.545281287312793,-0.3250964212844575
2022,1,Entre Ríos,19.04540527092108,0.38102938935715136
2022,1,Formosa,8.896427435598431,-0.7214811503222397
2022,1,Jujuy,14.847641828629394,-0.07498485299342256
2022,1,La Pampa,30.200415031402574,1.5928278611553057
2022,1,La Rioja,20.96917417226944,0.5900135377176036
2022,1,Mendoza,13.5994765497552,-0.21057637733700843
2022,1,Misiones,13.357539336702546,-0.23685866227834018
2022,1,Neuquén,22.07746042609429,0.710409630373455
2022,1,Río Negro,20.61822984084394,0.5518895186769167
2022,1,Salta,13.588166053353753,-0.21180506673745245
2022,1,San Juan,11.092116468606637,-0.48295759257786147
2022,1,San Luis,23.101656231687382,0.8216707532849437
2022,1,Santa Cruz,12.894297328809571,-0.2871818775233966
2022,1,Santa Fe,24.307396998934415,0.9526535897420604
2022,1,Santiago Del Estero,11.706882132029497,-0.41617395836814614
2022,1,Tierra Del Fuego,29.13865104068589,1.4774856060620882
2022,1,Tucumán,14.215533334298076,-0.14365248519532034
2021,4,Buenos Aires,25.36251411440295,1.0672737770432372
2021,4,Catamarca,14.054223759225387,-0.16117597470870443
2021,4,Chaco,11.772399458164147,-0.40905663643020074
2021,4,Chubut,25.309325144656967,1.0614957173517936
2021,4,Córdoba,25.873153715537683,1.1227459192987166
2021,4,Corrientes,11.983198552620907,-0.38615696838830466
2021,4,Entre Ríos,18.88227767661483,0.36330840356395827
2021,4,Formosa,8.768865242200624,-0.7353385717264153
2021,4,Jujuy,14.555241944242491,-0.10674903255597919
2021,4,La Pampa,29.509892061530994,1.5178145086259052
2021,4,La Rioja,20.742382050283958,0.5653765044259352
2021,4,Mendoza,13.25625900699059,-0.24786101471042488
2021,4,Misiones,13.363319043268442,-0.23623079733385519
2021,4,Neuquén,21.817563119077384,0.6821762925073347
2021,4,Río Negro,20.205613568445425,0.5070659121478633
2021,4,Salta,13.759337691497715,-0.19321023500069506
2021,4,San Juan,10.084133235970333,-0.5924575004339809
2021,4,San Luis,22.97895624197615,0.8083415260395788
2021,4,Santa Cruz,12.808821353847454,-0.29646736073305713
2021,4,Santa Fe,24.23965799751964,0.945294921291015
2021,4,Santiago Del Estero,11.675440470480114,-0.41958954994847053
2021,4,Tierra Del Fuego,29.171007839182543,1.481000611410576
2021,4,Tucumán,13.852880446424063,-0.18304843596138654
2021,3,Buenos Aires,23.96989190399953,0.915989510817173
2021,3,Catamarca,13.407472376612356,-0.23143430293180636
2021,3,Chaco,11.48213456009956,-0.44058888673243
2021,3,Chubut,24.738375502880167,0.9994719344744432
2021,3,Córdoba,24.885957628675673,1.0155041745480724
2021,3,Corrientes,11.8228555121759,-0.4035754606663734
2021,3,Entre Ríos,18.590565595869126,0.33161894194600217
2021,3,Formosa,8.643582187295351,-0.7489484042354153
2021,3,Jujuy,14.240381868423986,-0.1409531226374428
2021,3,La Pampa,27.767891191051227,1.3285763064150162
2021,3,La Rioja,20.565964530219404,0.546211798540154
2021,3,Mendoza,12.710228113581037,-0.3071778074695301
2021,3,Misiones,12.411772581325813,-0.33959982821646434
2021,3,Neuquén,20.74816202113861,0.5660043980808132
2021,3,Río Negro,19.05925062746504,0.38253344737787226
2021,3,Salta,13.55352602212216,-0.21556810574959157
2021,3,San Juan,10.050236642022515,-0.5961397778704961
2021,3,San Luis,22.857408818789526,0.7951375051708246
2021,3,Santa Cruz,13.016254371883871,-0.2739333585533801
2021,3,Santa Fe,23.58815244581783,0.8745201349956968
2021,3,Santiago Del Estero,11.660736690891678,-0.4211868607547817
2021,3,Tierra Del Fuego,28.150170112829368,1.3701042856062602
2021,3,Tucumán,13.533446775711843,-0.21774936785848556
2021,2,Buenos Aires,23.35247372787298,0.8489177270755633
2021,2,Catamarca,13.313748671467298,-0.24161575907614768
2021,2,Chaco,11.580041340539402,-0.4299530119583897
2021,2,Chubut,22.159781771420207,0.7193524177491969
2021,2,Córdoba,24.528406291253745,0.9766624188185304
2021,2,Corrientes,11.465064580129559,-0.4424432441992029
2021,2,Entre Ríos,18.435680632917915,0.3147933751882112
2021,2,Formosa,8.456293049570467,-0.7692941229530663
2021,2,Jujuy,14.366784069218694,-0.12722171432459714
2021,2,La Pampa,27.043558440191944,1.249890107172574
2021,2,La Rioja,20.49158509575061,0.5381317621298046
2021,2,Mendoza,11.433847066800618,-0.4458344859603141
2021,2,Misiones,12.26014659485293,-0.3560713636644796
2021,2,Neuquén,20.58023612564588,0.5477621600278859
2021,2,Río Negro,19.052051860128394,0.3817514260758127
2021,2,Salta,13.303441391384512,-0.24273546641131877
2021,2,San Juan,10.00671906693712,-0.6008672081567219
2021,2,San Luis,23.89055527674358,0.9073709613285859
2021,2,Santa Cruz,13.096756425784957,-0.26518820565897894
2021,2,Santa Fe,23.60478745301367,0.8763272402095071
2021,2,Santiago Del Estero,11.554388875216853,-0.43273970770704306
2021,2,Tierra Del Fuego,20.126647945777083,0.49848766587746685
2021,2,Tucumán,13.606163819728007,-0.2098499213582556
2021,1,Buenos Aires,22.998353975762015,0.8104487536138059
2021,1,Catamarca,12.438278918256517,-0.3367203741168915
2021,1,Chaco,11.528896477487843,-0.4355090148859507
2021,1,Chubut,21.147838315076264,0.6094223002258572
2021,1,Córdoba,24.061371645661506,0.9259271992214623
2021,1,Corrientes,11.234115869536096,-0.46753181880111633
2021,1,Entre Ríos,18.070581721504354,0.27513170635906387
2021,1,Formosa,8.330895284429907,-0.7829164167409721
2021,1,Jujuy,14.226045966500736,-0.1425104699114888
2021,1,La Pampa,26.943299898725044,1.2389987543236765
2021,1,La Rioja,13.258360163449572,-0.24763276047840943
2021,1,Mendoza,10.926002451479471,-0.5010030014498537
2021,1,Misiones,11.758811611223322,-0.41053272049569844
2021,1,Neuquén,19.895917331182986,0.4734227836258436
2021,1,Río Negro,18.724905657874665,0.34621266130035927
2021,1,Salta,13.061128426236175,-0.26905857030530933
2021,1,San Juan,9.948368694803314,-0.6072059647601538
2021,1,San Luis,23.24883515831701,0.83765919275745
2021,1,Santa Cruz,12.391825403443834,-0.3417667433687667
2021,1,Santa Fe,23.242382186130484,0.8369581891723262
2021,1,Santiago Del Estero,11.334871169032645,-0.4565865018021096
2021,1,Tierra Del Fuego,22.9312154304354,0.8031553143096317
2021,1,Tucumán,13.57896382467824,-0.21280472938997905
2020,4,Buenos Aires,22.90151153254686,0.7999285006321303
2020,4,Catamarca,12.567459308545084,-0.32268716366713046
2020,4,Chaco,11.50064617804086,-0.43857792028655124
2020,4,Chubut,20.950871174621614,0.5880252342508029
2020,4,Córdoba,23.904978675681004,0.9089378136367233
2020,4,Corrientes,11.172002734788627,-0.47427933434630454
2020,4,Entre Ríos,17.78197083072765,0.2437791352814016
2020,4,Formosa,8.268390853815193,-0.7897064398001948
2020,4,Jujuy,13.669623117135359,-0.20295616857176815
2020,4,La Pampa,26.940422171804798,1.2386861391705675
2020,4,La Rioja,13.339129511730942,-0.2388585706823377
2020,4,Mendoza,10.779753857792285,-0.5168903763726983
2020,4,Misiones,11.614898792582805,-0.4261663539433859
2020,4,Neuquén,19.943555550895127,0.4785978505317345
2020,4,Río Negro,18.789319055171752,0.353210060503403
2020,4,Salta,13.088389057411085,-0.2660971752095347
2020,4,San Juan,9.251858120163535,-0.6828697667704271
2020,4,San Luis,23.375314368474104,0.8513989668027923
2020,4,Santa Cruz,11.008682660661702,-0.4920212297359529
2020,4,Santa Fe,23.136769743176906,0.8254852277207451
2020,4,Santiago Del Estero,10.857437164805166,-0.5084514314731671
2020,4,Tierra Del Fuego,22.609569143137627,0.7682140199695926
2020,4,Tucumán,13.57016980842894,-0.2137600468375373
2020,3,Buenos Aires,22.410088053440287,0.7465438569810994
2020,3,Catamarca,11.995288801288368,-0.38484357241882805
2020,3,Chaco,11.102767361905425,-0.4818005576222776
2020,3,Chubut,20.94871530485329,0.5877910363660189
2020,3,Córdoba,23.029708353509868,0.8138548633218973
2020,3,Corrientes,10.993613616681577,-0.49365822018765704
2020,3,Entre Ríos,17.398110879051448,0.20207940459415036
2020,3,Formosa,8.120337229392224,-0.8057899000276818
2020,3,Jujuy,13.820037033679931,-0.18661630351386255
2020,3,La Pampa,26.115702018823033,1.1490945886024122
2020,3,La Rioja,13.341312020771634,-0.23862147890232283
2020,3,Mendoza,10.422355488053226,-0.5557155148147331
2020,3,Misiones,11.331798537010407,-0.45692029001645407
2020,3,Neuquén,19.42045929269766,0.4217725083852243
2020,3,Río Negro,17.54802558517,0.21836503909158608
